date,basin_perc_mm,gw_mean_head_m,gw_max_head_m
2022-02-21,0.0,232.3526988198228,261.618997
2022-02-22,0.0,232.3508635708157,261.618997
2022-02-23,0.0,232.34903940261808,261.618997
2022-02-24,0.0,232.34722615612566,261.618997
2022-02-25,0.0,232.34542370041004,261.618997
2022-02-26,0.0,232.34363188147378,261.618997
2022-02-27,0.0,232.3418504407474,261.618997
2022-02-28,0.0,232.34007925097077,261.618997
2022-03-01,0.0,232.33831811107513,261.618997
2022-03-02,0.0,232.33656690253832,261.618997
2022-03-03,0.0,232.33482543704827,261.618997
2022-03-04,0.0,232.33309352581202,261.618997
2022-03-05,0.0,232.33137107024328,261.618997
2022-03-06,0.0,232.32965793401135,261.618997
2022-03-07,4.826203146873045e-05,232.32795415742046,261.618997
2022-03-08,0.00020438273819819682,232.32625993796083,261.618997
2022-03-09,0.00020296361708903145,232.32457451931194,261.618997
2022-03-10,0.00020155544090827407,232.32289829014442,261.618997
2022-03-11,0.00020015815930509164,232.3212300618329,261.618997
2022-03-12,0.00019877172830642332,232.3195701700962,261.618997
2022-03-13,0.00019739604318253648,232.31791858023016,261.618997
2022-03-14,0.00019603093374761553,232.3162752234842,261.618997
2022-03-15,0.0001936861149232266,232.31463999763358,261.618997
2022-03-16,0.00035915524841622417,232.31301334405342,261.618997
2022-03-17,0.0003522516208621785,232.31139450958585,261.618997
2022-03-18,0.0004014592576798157,232.30978365445256,261.618997
2022-03-19,0.0007165695704582856,232.30818147467457,261.618997
2022-03-20,0.0007575709466075743,232.30658704717766,261.618997
2022-03-21,0.000976613288549587,232.3050003076968,261.618997
2022-03-22,0.0009619464681887115,232.30342096859104,261.618997
2022-03-23,0.001296140790619406,232.30184999613925,261.618997
2022-03-24,0.0032815324196450654,232.3002912099175,261.618997
2022-03-25,0.00991998286546206,232.29877241751808,261.618997
2022-03-26,0.020706902683017198,232.29729298393332,261.618997
2022-03-27,0.021318009384485002,232.2958183172656,261.618997
2022-03-28,0.02091536640423216,232.29434754726353,261.618997
2022-03-29,0.019821287236690178,232.29287976461598,261.618997
2022-03-30,0.019293306923759565,232.29141553265376,261.618997
2022-03-31,0.02028469389312407,232.28995958719224,261.618997
2022-04-01,0.10116869314990946,232.28884072244907,261.618997
2022-04-02,0.0979676170466452,232.28770336649293,261.618997
2022-04-03,0.09520743479007299,232.286554178295,261.618997
2022-04-04,0.1652374420250872,232.2857427899794,261.618997
2022-04-05,0.18502115666131852,232.28502522017192,261.618997
2022-04-06,0.22797216841643705,232.28449720946216,261.618997
2022-04-07,0.36590834771596065,232.2845197805282,261.618997
2022-04-08,0.8795106251341466,232.28680797587313,261.618997
2022-04-09,0.9329198567344866,232.28931588004568,261.618997
2022-04-10,0.9207688826066481,232.29167098565262,261.618997
2022-04-11,1.2530377874684633,232.2955868347733,261.618997
2022-04-12,1.2957400827392769,232.2996221227492,261.618997
2022-04-13,1.2627388876438828,232.30340523766654,261.618997
2022-04-14,1.3888934438730072,232.30764765645492,261.618997
2022-04-15,1.3446380270642484,232.31157738811663,261.618997
2022-04-16,1.301831607952937,232.31523656263855,261.618997
