HRU,sol_pfas_ugha,kf,nf
319,10872000.0,216.4,0.48
320,10872000.0,216.4,0.48
321,10296000.0,450.2,0.43
322,10296000.0,450.2,0.43
323,10296000.0,450.2,0.43
324,91200000.0,216.4,0.48
325,91200000.0,216.4,0.48
326,91200000.0,216.4,0.48
327,13616000.0,216.4,0.48
328,13616000.0,216.4,0.48
329,13616000.0,216.4,0.48
330,8904000.0,450.2,0.43
331,8904000.0,450.2,0.43
332,13340000.0,450.2,0.43
333,13340000.0,450.2,0.43
334,13020000.0,216.4,0.48
335,13020000.0,216.4,0.48
336,33350.0,450.2,0.43
337,33350.0,450.2,0.43
338,32200.0,216.4,0.48
339,32200.0,216.4,0.48
340,26100.0,450.2,0.43
341,26100.0,450.2,0.43
342,26100.0,450.2,0.43
343,21450.0,216.4,0.48
344,21450.0,216.4,0.48
345,21450.0,216.4,0.48
346,20670.0,450.2,0.43
347,20670.0,450.2,0.43
348,20670.0,450.2,0.43
349,36340.0,216.4,0.48
350,36340.0,216.4,0.48
351,36340.0,216.4,0.48
352,35190.0,216.4,0.48
353,35190.0,216.4,0.48
354,35190.0,216.4,0.48
355,25740.0,450.2,0.43
356,25740.0,450.2,0.43
357,25740.0,450.2,0.43
358,21450.0,216.4,0.48
359,21450.0,216.4,0.48
360,21450.0,216.4,0.48
361,35190.0,216.4,0.48
362,35190.0,216.4,0.48
363,35190.0,216.4,0.48
364,22260.0,450.2,0.43
365,22260.0,450.2,0.43
366,33350.0,450.2,0.43
367,33350.0,450.2,0.43
368,33350.0,450.2,0.43
369,27180.0,216.4,0.48
370,27180.0,216.4,0.48
371,27180.0,216.4,0.48
372,34040.0,216.4,0.48
373,34040.0,216.4,0.48
374,34040.0,216.4,0.48
375,40320.0,216.4,0.48
376,40320.0,216.4,0.48
377,40320.0,216.4,0.48
378,36800.0,216.4,0.48
379,36800.0,216.4,0.48
380,36800.0,216.4,0.48
381,34040.0,216.4,0.48
382,34040.0,216.4,0.48
383,34040.0,216.4,0.48
384,33350.0,216.4,0.48
385,33350.0,216.4,0.48
386,33350.0,216.4,0.48
387,5500.0,366.7,0.33
388,5500.0,366.7,0.33
389,5500.0,366.7,0.33
390,35000.0,450.2,0.43
391,35000.0,450.2,0.43
392,35000.0,450.2,0.43
393,36800.0,216.4,0.48
394,36800.0,216.4,0.48
395,34730.0,216.4,0.48
396,34730.0,216.4,0.48
397,34730.0,216.4,0.48
398,29000.0,450.2,0.43
399,29000.0,450.2,0.43
400,32000.0,450.2,0.43
401,32000.0,450.2,0.43
402,32000.0,450.2,0.43
403,36800.0,450.2,0.43
404,36800.0,450.2,0.43
405,34500.0,450.2,0.43
406,34500.0,450.2,0.43
407,48300000.0,216.4,0.48
408,48300000.0,216.4,0.48
409,48300000.0,216.4,0.48
410,55200000.0,216.4,0.48
411,55200000.0,216.4,0.48
412,54510000.0,216.4,0.48
413,54510000.0,216.4,0.48
414,32175000.0,216.4,0.48
415,32175000.0,216.4,0.48
416,32175000.0,216.4,0.48
417,50025000.0,450.2,0.43
418,50025000.0,450.2,0.43
419,52500000.0,450.2,0.43
420,52500000.0,450.2,0.43
421,52500000.0,450.2,0.43
422,50025000.0,450.2,0.43
423,50025000.0,450.2,0.43
424,50025000.0,450.2,0.43
425,38400.0,450.2,0.43
426,38400.0,450.2,0.43
427,38400.0,450.2,0.43
428,34040.0,216.4,0.48
429,34040.0,216.4,0.48
430,34040.0,216.4,0.48
431,22500.0,216.4,0.48
432,31005000.0,450.2,0.43
433,31005000.0,450.2,0.43
434,31005000.0,450.2,0.43
435,51060000.0,216.4,0.48
436,51060000.0,216.4,0.48
437,51060000.0,216.4,0.48
438,50025000.0,450.2,0.43
439,50025000.0,450.2,0.43
440,50025000.0,450.2,0.43
441,52500000.0,450.2,0.43
442,52500000.0,450.2,0.43
443,52500000.0,450.2,0.43
444,27180.0,216.4,0.48
445,27180.0,216.4,0.48
446,27180.0,216.4,0.48
447,13020000.0,216.4,0.48
448,13020000.0,216.4,0.48
449,14720000.0,216.4,0.48
450,14720000.0,216.4,0.48
451,10000000.0,216.4,0.48
452,10000000.0,216.4,0.48
453,10000000.0,216.4,0.48
454,55200000.0,216.4,0.48
455,55200000.0,216.4,0.48
456,55200000.0,216.4,0.48
457,52785000.0,216.4,0.48
458,52785000.0,216.4,0.48
459,52785000.0,216.4,0.48
460,54510000.0,216.4,0.48
461,54510000.0,216.4,0.48
462,54510000.0,216.4,0.48
463,52095000.0,216.4,0.48
464,52095000.0,216.4,0.48
465,51060000.0,216.4,0.48
466,51060000.0,216.4,0.48
467,51060000.0,216.4,0.48
468,32550.0,216.4,0.48
469,32550.0,216.4,0.48
470,36340.0,216.4,0.48
471,36340.0,216.4,0.48
472,36340.0,216.4,0.48
473,20670.0,450.2,0.43
474,20670.0,450.2,0.43
475,20670.0,450.2,0.43
476,32550.0,216.4,0.48
477,32550.0,216.4,0.48
478,32000.0,450.2,0.43
479,32000.0,450.2,0.43
480,32000.0,450.2,0.43
481,36960.0,216.4,0.48
482,36960.0,216.4,0.48
483,36960.0,216.4,0.48
484,38180.0,450.2,0.43
485,38180.0,450.2,0.43
486,38180.0,450.2,0.43
487,36340.0,216.4,0.48
488,36340.0,216.4,0.48
489,36340.0,216.4,0.48
490,20670.0,450.2,0.43
491,20670.0,450.2,0.43
492,34730.0,216.4,0.48
493,34730.0,216.4,0.48
494,34730.0,216.4,0.48
495,25740.0,450.2,0.43
496,25740.0,450.2,0.43
497,25740.0,450.2,0.43
498,21450.0,216.4,0.48
499,21450.0,216.4,0.48
500,36340.0,216.4,0.48
501,36340.0,216.4,0.48
502,36340.0,216.4,0.48
503,22260.0,450.2,0.43
504,22260.0,450.2,0.43
505,35190.0,216.4,0.48
506,34500.0,450.2,0.43
507,34500.0,450.2,0.43
508,34500.0,450.2,0.43
509,27180.0,216.4,0.48
510,27180.0,216.4,0.48
511,27180.0,216.4,0.48
512,13892000.0,216.4,0.48
513,13892000.0,216.4,0.48
514,15272000.0,450.2,0.43
515,15272000.0,450.2,0.43
516,15272000.0,450.2,0.43
517,14536000.0,216.4,0.48
518,14536000.0,216.4,0.48
519,14536000.0,216.4,0.48
520,48825000.0,216.4,0.48
521,48825000.0,216.4,0.48
522,48825000.0,216.4,0.48
523,37500000.0,216.4,0.48
524,37500000.0,216.4,0.48
525,37500000.0,216.4,0.48
526,51060000.0,216.4,0.48
527,51060000.0,216.4,0.48
528,40770000.0,216.4,0.48
529,40770000.0,216.4,0.48
530,40770000.0,216.4,0.48
531,57270000.0,450.2,0.43
532,57270000.0,450.2,0.43
533,57270000.0,450.2,0.43
534,31005000.0,450.2,0.43
535,31005000.0,450.2,0.43
536,31005000.0,450.2,0.43
537,54510000.0,216.4,0.48
538,54510000.0,216.4,0.48
539,54510000.0,216.4,0.48
540,52785000.0,216.4,0.48
541,52785000.0,216.4,0.48
542,52785000.0,216.4,0.48
543,51750000.0,450.2,0.43
544,51750000.0,450.2,0.43
545,51750000.0,450.2,0.43
546,52785000.0,216.4,0.48
547,52785000.0,216.4,0.48
548,52785000.0,216.4,0.48
549,54510000.0,216.4,0.48
550,54510000.0,216.4,0.48
551,54510000.0,216.4,0.48
552,33390000.0,450.2,0.43
553,33390000.0,450.2,0.43
554,33390000.0,450.2,0.43
555,50025000.0,216.4,0.48
556,50025000.0,216.4,0.48
557,50025000.0,216.4,0.48
558,52095000.0,216.4,0.48
559,52095000.0,216.4,0.48
560,32175000.0,216.4,0.48
561,32175000.0,216.4,0.48
562,54510000.0,216.4,0.48
563,54510000.0,216.4,0.48
564,54510000.0,216.4,0.48
565,22500.0,216.4,0.48
566,36340.0,216.4,0.48
567,36340.0,216.4,0.48
568,36340.0,216.4,0.48
569,27180.0,216.4,0.48
570,27180.0,216.4,0.48
571,27180.0,216.4,0.48
572,35190.0,216.4,0.48
573,35190.0,216.4,0.48
574,35190.0,216.4,0.48
575,36960.0,216.4,0.48
576,36960.0,216.4,0.48
577,36960.0,216.4,0.48
578,34730.0,216.4,0.48
579,34730.0,216.4,0.48
580,34730.0,216.4,0.48
581,32000.0,450.2,0.43
582,32000.0,450.2,0.43
583,32000.0,450.2,0.43
584,36800.0,450.2,0.43
585,36800.0,450.2,0.43
586,36800.0,450.2,0.43
587,35190.0,216.4,0.48
588,35190.0,216.4,0.48
589,35190.0,216.4,0.48
590,25740.0,450.2,0.43
591,25740.0,450.2,0.43
592,25740.0,450.2,0.43
593,5680.0,216.4,0.48
594,5680.0,216.4,0.48
595,5680.0,216.4,0.48
596,33600.0,216.4,0.48
597,33600.0,216.4,0.48
598,33600.0,216.4,0.48
599,22260.0,450.2,0.43
600,22260.0,450.2,0.43
601,22260.0,450.2,0.43
602,40320.0,216.4,0.48
603,40320.0,216.4,0.48
604,40320.0,216.4,0.48
605,33350.0,216.4,0.48
606,33350.0,216.4,0.48
607,41440.0,450.2,0.43
608,41440.0,450.2,0.43
609,22500.0,216.4,0.48
610,22500.0,216.4,0.48
611,55440000.0,216.4,0.48
612,55440000.0,216.4,0.48
613,55440000.0,216.4,0.48
614,40770000.0,216.4,0.48
615,40770000.0,216.4,0.48
616,40770000.0,216.4,0.48
617,52785000.0,216.4,0.48
618,52785000.0,216.4,0.48
619,52785000.0,216.4,0.48
620,54510000.0,216.4,0.48
621,54510000.0,216.4,0.48
622,51750000.0,450.2,0.43
623,51750000.0,450.2,0.43
624,51750000.0,450.2,0.43
625,43200000.0,450.2,0.43
626,43200000.0,450.2,0.43
627,43200000.0,450.2,0.43
628,40500000.0,216.4,0.48
629,40500000.0,216.4,0.48
630,12800000.0,450.2,0.43
631,12800000.0,450.2,0.43
632,17760000.0,450.2,0.43
633,17760000.0,450.2,0.43
634,17760000.0,450.2,0.43
635,10872000.0,216.4,0.48
636,10872000.0,216.4,0.48
637,10872000.0,216.4,0.48
638,14076000.0,216.4,0.48
639,14076000.0,216.4,0.48
640,14076000.0,216.4,0.48
641,12880000.0,216.4,0.48
642,12880000.0,216.4,0.48
643,16128000.0,216.4,0.48
644,16128000.0,216.4,0.48
645,16128000.0,216.4,0.48
646,10296000.0,450.2,0.43
647,10296000.0,450.2,0.43
648,10296000.0,450.2,0.43
649,13020000.0,216.4,0.48
650,13020000.0,216.4,0.48
651,13020000.0,216.4,0.48
652,14784000.0,216.4,0.48
653,14784000.0,216.4,0.48
654,14784000.0,216.4,0.48
655,14720000.0,450.2,0.43
656,14720000.0,450.2,0.43
657,14720000.0,216.4,0.48
658,14720000.0,216.4,0.48
659,14720000.0,216.4,0.48
660,52785000.0,216.4,0.48
661,52785000.0,216.4,0.48
662,40770000.0,216.4,0.48
663,40770000.0,216.4,0.48
664,40770000.0,216.4,0.48
665,33390000.0,450.2,0.43
666,33390000.0,450.2,0.43
667,33390000.0,450.2,0.43
668,60480000.0,216.4,0.48
669,60480000.0,216.4,0.48
670,60480000.0,216.4,0.48
671,33750000.0,216.4,0.48
672,33750000.0,216.4,0.48
673,33750000.0,216.4,0.48
674,32175000.0,216.4,0.48
675,32175000.0,216.4,0.48
676,55200000.0,216.4,0.48
677,55200000.0,216.4,0.48
678,91200000.0,216.4,0.48
679,91200000.0,216.4,0.48
680,91200000.0,216.4,0.48
681,13020000.0,216.4,0.48
682,13020000.0,216.4,0.48
683,13020000.0,216.4,0.48
684,50400000.0,216.4,0.48
685,50400000.0,216.4,0.48
686,50400000.0,216.4,0.48
687,52095000.0,216.4,0.48
688,52095000.0,216.4,0.48
689,52095000.0,216.4,0.48
690,52200000.0,450.2,0.43
691,52200000.0,450.2,0.43
692,52200000.0,450.2,0.43
693,60480000.0,216.4,0.48
694,60480000.0,216.4,0.48
695,60480000.0,216.4,0.48
696,51060000.0,216.4,0.48
697,51060000.0,216.4,0.48
698,51060000.0,216.4,0.48
699,38610000.0,450.2,0.43
700,38610000.0,450.2,0.43
701,38610000.0,450.2,0.43
702,32175000.0,216.4,0.48
703,32175000.0,216.4,0.48
704,32175000.0,216.4,0.48
705,50025000.0,216.4,0.48
706,50025000.0,216.4,0.48
707,50025000.0,216.4,0.48
708,51750000.0,450.2,0.43
709,51750000.0,450.2,0.43
710,51750000.0,450.2,0.43
711,43200000.0,450.2,0.43
712,43200000.0,450.2,0.43
713,43200000.0,450.2,0.43
714,48000000.0,450.2,0.43
715,48000000.0,450.2,0.43
716,48000000.0,450.2,0.43
717,48825000.0,216.4,0.48
718,5680.0,216.4,0.48
719,5680.0,216.4,0.48
720,27180.0,216.4,0.48
721,27180.0,216.4,0.48
722,27180.0,216.4,0.48
723,28800.0,450.2,0.43
724,33350.0,216.4,0.48
725,33350.0,216.4,0.48
726,33350.0,216.4,0.48
727,32550.0,216.4,0.48
728,32550.0,216.4,0.48
729,34040.0,216.4,0.48
730,34040.0,216.4,0.48
731,34040.0,216.4,0.48
732,22500.0,216.4,0.48
733,2272000.0,216.4,0.48
734,2272000.0,216.4,0.48
735,13340000.0,216.4,0.48
736,13340000.0,216.4,0.48
737,13340000.0,216.4,0.48
738,15360000.0,450.2,0.43
739,15360000.0,450.2,0.43
740,13340000.0,450.2,0.43
741,13340000.0,450.2,0.43
742,14000000.0,450.2,0.43
743,14000000.0,450.2,0.43
744,14784000.0,216.4,0.48
745,14784000.0,216.4,0.48
746,12880000.0,216.4,0.48
747,12880000.0,216.4,0.48
748,13800000.0,450.2,0.43
749,13800000.0,450.2,0.43
750,13020000.0,216.4,0.48
751,13020000.0,216.4,0.48
752,48300000.0,216.4,0.48
753,48300000.0,216.4,0.48
754,48300000.0,216.4,0.48
755,12880000.0,216.4,0.48
756,12880000.0,216.4,0.48
757,14000000.0,450.2,0.43
758,14000000.0,450.2,0.43
759,13800000.0,450.2,0.43
760,13800000.0,450.2,0.43
761,13800000.0,450.2,0.43
762,13020000.0,216.4,0.48
763,13020000.0,216.4,0.48
764,14784000.0,216.4,0.48
765,14784000.0,216.4,0.48
766,14784000.0,216.4,0.48
767,16128000.0,216.4,0.48
768,16128000.0,216.4,0.48
769,13340000.0,450.2,0.43
770,13340000.0,450.2,0.43
771,31005000.0,450.2,0.43
772,31005000.0,450.2,0.43
773,52500000.0,450.2,0.43
774,52500000.0,450.2,0.43
775,52500000.0,450.2,0.43
776,48825000.0,216.4,0.48
777,48825000.0,216.4,0.48
778,48825000.0,216.4,0.48
779,55440000.0,216.4,0.48
780,55440000.0,216.4,0.48
781,55440000.0,216.4,0.48
782,32175000.0,216.4,0.48
783,32175000.0,216.4,0.48
784,32175000.0,216.4,0.48
785,52785000.0,216.4,0.48
786,52785000.0,216.4,0.48
787,52785000.0,216.4,0.48
788,50025000.0,450.2,0.43
789,50025000.0,450.2,0.43
790,34040.0,216.4,0.48
791,34040.0,216.4,0.48
792,34040.0,216.4,0.48
793,35190.0,216.4,0.48
794,35190.0,216.4,0.48
795,35190.0,216.4,0.48
796,25740.0,450.2,0.43
797,25740.0,450.2,0.43
798,25740.0,450.2,0.43
799,28600.0,450.2,0.43
