reach,PFOS,PFOA,PFHxS,PFBS,PFHxA
40,0.8580438940826437,0.7527530454272631,0.7458265756503328,0.6716987169399183,0.47825004886803135
41,0.8831857571030289,0.8360167910551515,0.8316023169727791,0.7736741944240608,0.5435503627388459
42,0.0,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,0.0,0.0
44,0.0,0.0,0.0,0.0,0.0
45,0.8896561104760785,0.775961382333452,0.7672857610097321,0.6715698313857448,0.42418494839036613
46,0.0,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0,0.0
48,0.9206421013833402,0.8562710855074674,0.8506783998172407,0.7837135659640069,0.39521494402630525
49,0.0,0.0,0.0,0.0,0.0
50,0.914845823567368,0.7952228787889428,0.7846246256411888,0.6609013632819184,0.3827273379837986
51,0.9326745213769395,0.8397237099808954,0.8326822484041823,0.7593925468563024,0.5310662166759657
52,0.8821073463942197,0.7738336250323077,0.7655141453410675,0.6721393538106667,0.4156189075082472
53,0.0,0.0,0.0,0.0,0.0
54,0.8455755077774059,0.7457171676136066,0.7392457786499944,0.6664317037487273,0.45959266217163264
55,0.8673130524409203,0.7753113935165499,0.7686159321391359,0.6958302349164965,0.5009023051037769
56,0.0,0.0,0.0,0.0,0.0
57,0.9161194833869059,0.8298297088915528,0.8226748612929358,0.7431471642192815,0.5039271128692291
58,0.9334239575079113,0.7636502847153926,0.7514094107676983,0.6135794706168772,0.27060941940744787
59,0.9331544374092947,0.8201937218682683,0.81223675757775,0.7273832840587352,0.46489711609110657
60,0.881119466812479,0.7725910196656404,0.7645368148222649,0.6758227358641871,0.4444704164329531
61,0.0,0.0,0.0,0.0,0.0
62,0.8865339425209778,0.779823105357265,0.7717735827100735,0.685901667662188,0.39508490092576337
63,0.9113897417593811,0.810802695322113,0.8029517003097342,0.7162615085931632,0.4765457052713531
64,0.9351123763007942,0.8238032390294633,0.8145309701458218,0.7094280588443661,0.43272763416178456
65,0.9371517295609794,0.8445826634994431,0.8369978593014841,0.749160219697824,0.3794980746277643
66,0.8381830389663598,0.7406989459793639,0.7348171303076341,0.6684881004884703,0.4572199250644073
67,0.9344654232303964,0.8066911020963068,0.7974343166897827,0.6978547936040322,0.4604861728083932
68,0.899921941715639,0.8191601301504801,0.8126732341454795,0.7397442541022463,0.5316901481822185
69,0.895059368934625,0.7737497320137311,0.7622579950891997,0.5981039934934564,0.2773107769548639
70,0.9152312590137643,0.8580542425079862,0.852791741712631,0.7933285391963917,0.6051098662944253
71,0.921524386517021,0.8166581553181634,0.8077136209393122,0.7085692764710926,0.4644448731523636
72,0.0,0.0,0.0,0.0,0.0
73,0.0,0.0,0.0,0.0,0.0
74,0.0,0.0,0.0,0.0,0.0
75,0.9456384464681308,0.8489404435597104,0.839513395245495,0.7179183242851783,0.326741436300956
76,0.0,0.0,0.0,0.0,0.0
77,0.0,0.0,0.0,0.0,0.0
78,0.8986601941673348,0.782470858531611,0.7736771476064572,0.6787316137266953,0.42935032962009856
79,0.8821288160840872,0.7855301603624644,0.7778804400198777,0.6928063480259713,0.46586353224496896
80,0.9090620825599255,0.8015773469780277,0.7934634501063843,0.7048562466952405,0.4800102040573843
81,0.921464364511662,0.8446093618879508,0.8375186812554343,0.75621612883565,0.5258619094173992
82,0.9233258738125691,0.8226124030790284,0.8149585573173553,0.7254143139105407,0.283331844674537
83,0.0,0.0,0.0,0.0,0.0
84,0.8691548220357652,0.7830073864445644,0.7769669142694752,0.7105827296191105,0.520878118056048
85,0.8850332968887313,0.7723640632156488,0.7637717833965915,0.6658946280819963,0.3760856413747034
86,0.930014715552107,0.82387098309964,0.815557281187452,0.7253910749479286,0.499491691268532
87,0.0,0.0,0.0,0.0,0.0
88,0.0,0.0,0.0,0.0,0.0
89,0.9090744039139851,0.8167019442801429,0.8092573213263621,0.7261332274893332,0.4838722285497361
90,0.885663752263232,0.7959420225695903,0.7890597982479978,0.7122467957840455,0.43609083769190343
91,0.8622596289141368,0.7782839414824372,0.7724015883099157,0.7052172271891745,0.49361374257525475
92,0.884112662403387,0.8151768880024902,0.8098279656557039,0.7441459047356891,0.5180132810013249
93,0.8554488620088999,0.7539066206674747,0.7470626490688682,0.6730809964788057,0.4779556303163649
94,0.8831857795487228,0.8360168387851734,0.8316023692247533,0.7736742974841231,0.5435505921842234
95,0.0,0.0,0.0,0.0,0.0
96,0.0,0.0,0.0,0.0,0.0
97,0.0,0.0,0.0,0.0,0.0
98,0.8901807867572181,0.7770683285861361,0.7684172716966209,0.6729029041857528,0.42463958087945614
99,0.0,0.0,0.0,0.0,0.0
100,0.0,0.0,0.0,0.0,0.0
101,0.9283352729033375,0.8628637797304628,0.8567724281343541,0.7838224177195909,0.3331500361610417
102,0.9313691690800864,0.8163408262218257,0.8046950652498194,0.663487836967102,0.426754037335166
103,0.9148458364801312,0.7952229264207491,0.7846246758760229,0.6609014388564337,0.382727415360662
104,0.9271841618972301,0.8348535202880683,0.8278570334702726,0.7543191192421895,0.5196015408118573
105,0.91835775299006,0.8056965180602165,0.7965985686163823,0.6950759549812647,0.37630654916602274
106,0.0,0.0,0.0,0.0,0.0
107,0.8673132944101353,0.7753119225830782,0.7686164827575063,0.6958310108021482,0.5009034628836206
108,0.0,0.0,0.0,0.0,0.0
109,0.9161194698620947,0.8298296640877153,0.8226748143550451,0.7431470941625382,0.5039269911025727
110,0.9334239830223049,0.7636503653386376,0.7514094936069078,0.6135795878108853,0.2706095346234292
111,0.928855998536268,0.8134705449318942,0.8054246582423943,0.7198275155341166,0.4623948722481191
112,0.8809307867575262,0.7734282456452993,0.7654348286721553,0.6772473501479574,0.44605360832472385
113,0.0,0.0,0.0,0.0,0.0
114,0.9179518367657097,0.8110715483699897,0.8027954685895033,0.714644009124962,0.38936100540576807
115,0.908667889066215,0.8096713832688879,0.8017984813006009,0.7148602570599213,0.4740195174634243
116,0.9340521403335711,0.8262372717474784,0.8173050906309329,0.7167945889555849,0.4431078055230175
117,0.9256663469556784,0.8358035381740203,0.8284976024485977,0.7440580675212204,0.3888986143579252
118,0.8611727688917212,0.7645806452170557,0.758109747966667,0.6862025458841567,0.4753515851391659
