reach,PFOS,PFOA,PFHxS,PFBS,PFHxA,tot,PFOS_f,PFOA_f,PFHxS_f,PFBS_f,PFHxA_f
161,0.92986397346229,0.7631287235462073,0.7508639924588539,0.6152824159765219,0.2877771112153605,3.346916216659234,0.2778270841779378,0.22800950909608778,0.22434502205984055,0.183835619461868,0.08598276520426579
162,0.9281156277048502,0.804874223218653,0.796231528476311,0.705601554928559,0.4598379909866145,3.6946609253149876,0.25120454798588154,0.21784792691092042,0.21550868796124462,0.19097870391676147,0.12446013322519199
163,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
164,0.9179518571166656,0.8110716104416867,0.8027955328433173,0.7146440976126025,0.3893613511233266,3.635824449137598,0.2524741966940675,0.22307777005957188,0.22080151120435337,0.19655627151693558,0.1070902505250718
165,0.904249610961096,0.8063138946414816,0.7985461200445793,0.7126041600628217,0.4736171146726879,3.695330900382666,0.2447005790110589,0.21819802241741995,0.2160959712598097,0.19283906618187527,0.12816636112983631
166,0.9340522077472632,0.8262375003219834,0.8173053300817076,0.7167949426050275,0.4431083281810513,3.737498308937033,0.2499137472554237,0.22106698974185499,0.21867711033537676,0.19178468680267802,0.11855746586466656
167,0.9235166622427072,0.8329214421357093,0.8257746671769277,0.7458245677081191,0.4323607887335162,3.7603981279969796,0.24559012923842435,0.22149820678146512,0.21959766999905042,0.19833659690320912,0.11497739707785097
168,0.8731227387291968,0.7798750083940227,0.7732830821636743,0.699896944636586,0.4875276740727072,3.6137054479961868,0.2416142519898368,0.2158103419376547,0.21398619596748336,0.1936784706746593,0.13491073943036588
169,0.9344655340577444,0.8066914084515997,0.7974346337522707,0.6978552215651604,0.4604866787936595,3.6969334766204347,0.2527677438523967,0.21820555158840446,0.2157016453758991,0.1887659667068468,0.12455909247645297
170,0.9015521565690384,0.8155241912622236,0.8086737774488358,0.7338856884826225,0.5252131293732925,3.7848489431360126,0.2382003007554746,0.21547073701348426,0.2136607800201381,0.1939009190349739,0.13876726317592916
171,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
172,0.9174712478486852,0.819613847355465,0.8111717817797931,0.7164372282986127,0.4680106095027513,3.732704714785308,0.24579261365480257,0.2195763956653095,0.21731474728411482,0.1919351470425165,0.12538109635325645
173,0.9318571375742086,0.8324119390807635,0.8241057773485835,0.7337726494033041,0.5009697593807277,3.8231172627875876,0.24374275585121716,0.2177312077720103,0.21555859281901676,0.1919304585672795,0.13103698499047625
174,0.8884240630283101,0.7901687011480886,0.7824948229473682,0.6972308028666815,0.4654462272005544,3.6237646171910027,0.2451660515734548,0.2180518837784215,0.21593423017467586,0.19240510257179644,0.1284427319016514
