reach,PFOS,PFOA,PFHxS,PFBS,PFHxA,tot,PFOS_f,PFOA_f,PFHxS_f,PFBS_f,PFHxA_f
29,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
30,0.8562792949695163,0.7624981320462889,0.7563669008325512,0.6900201175052847,0.5039791138579796,3.5691435592116205,0.23991169891710876,0.21363616212028055,0.21191831829808025,0.19332932566537098,0.1412044949991595
31,0.8593882433347094,0.7310584119547426,0.721750821668062,0.6154701451258958,0.3268261936356584,3.2544938157190684,0.264062029918109,0.22463045049394817,0.22177053100609254,0.1891139390565749,0.10042304952527537
32,0.930014708549166,0.8238709613255295,0.8155572585543185,0.7253910431907309,0.4994916464907641,3.794325618110509,0.24510672044332688,0.21713238246953595,0.21494129408968546,0.19117785772744506,0.13164174527000663
33,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
34,0.9000308952027473,0.8330965751051611,0.8270078721266971,0.7514206452330332,0.5051482294138163,3.8167042170814547,0.2358136350138707,0.21827643110951123,0.21668115344790614,0.19687683469682835,0.1323519457318837
35,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
36,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
37,0.8856637017560619,0.7959418927065207,0.7890596625293695,0.7122465911406721,0.4360902888904361,3.6190021370230605,0.24472594052806948,0.2199340764582281,0.21803238369415243,0.1968074524892533,0.12050014683029664
38,0.8624006925893246,0.7786223220920874,0.7727360099155259,0.7054249685674985,0.4934516732272342,3.6126356663916708,0.23871787033833314,0.21552749681779607,0.21389812903202077,0.19526601454169956,0.1365904892701504
39,0.8725837023023205,0.8021982582009012,0.7973851078514244,0.7388766767632043,0.5273298888041169,3.7383736339219675,0.2334126515296663,0.2145848266534307,0.21329732817928077,0.1976465567964219,0.14105863684120026
40,0.8580438940826437,0.7527530454272631,0.7458265756503328,0.6716987169399183,0.4782500488680313,3.5065722809681894,0.24469590966073904,0.2146691940482181,0.21269391185753767,0.19155421965363212,0.13638676477987302
41,0.8831857571030289,0.8360167910551515,0.8316023169727791,0.7736741944240608,0.5435503627388459,3.8680294222938656,0.228329637828678,0.2161350651152407,0.21499379300988156,0.20001766014624758,0.14052384389995232
42,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
43,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
44,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
45,0.8896561104760785,0.775961382333452,0.7672857610097321,0.6715698313857448,0.4241849483903661,3.528658033595374,0.25212307398617534,0.21990268678510044,0.21744406902131555,0.19031876282482313,0.12021140738258536
46,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
47,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
48,0.9206421013833402,0.8562710855074674,0.8506783998172407,0.7837135659640069,0.3952149440263052,3.8065200966983603,0.24185925149373896,0.22494852614863808,0.22347928769772915,0.20588714785553663,0.10382578680435722
49,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
50,0.914845823567368,0.7952228787889428,0.7846246256411888,0.6609013632819184,0.3827273379837986,3.5383220292632167,0.25855357878713653,0.22474576146889935,0.22175048487731086,0.18678383646712268,0.1081663383995305
51,0.9326745213769396,0.8397237099808954,0.8326822484041823,0.7593925468563024,0.5310662166759657,3.8955392432942855,0.2394211592098397,0.21556032619267831,0.21375275575455882,0.19493900572648773,0.1363267531164354
52,0.8821073463942197,0.7738336250323077,0.7655141453410675,0.6721393538106667,0.4156189075082472,3.5092133780865087,0.25136896830001604,0.220514839554801,0.21814408611381858,0.19153561821229817,0.11843648781906628
53,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
54,0.8455755077774059,0.7457171676136066,0.7392457786499944,0.6664317037487273,0.4595926621716326,3.4565628199613667,0.24462900048981512,0.2157395095807752,0.2138673060940512,0.19280184925329258,0.13296233458206594
55,0.8673130524409203,0.7753113935165499,0.7686159321391359,0.6958302349164965,0.5009023051037769,3.607972918116879,0.24038790537640725,0.214888362832061,0.21303262235690562,0.19285905152516317,0.138832057909463
56,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
57,0.916119483386906,0.8298297088915528,0.8226748612929358,0.7431471642192815,0.5039271128692291,3.8156983306599055,0.24009222008608522,0.21747780798699515,0.21560269969000886,0.19476046055526566,0.13206681168164505
58,0.9334239575079112,0.7636502847153926,0.7514094107676983,0.6135794706168772,0.2706094194074478,3.332672543015327,0.28008271003528307,0.2291405095636726,0.22546751925643435,0.1841103386838373,0.08119892246077273
59,0.9331544374092948,0.8201937218682683,0.81223675757775,0.7273832840587352,0.4648971160911065,3.757865317005155,0.24832035176635225,0.21826054227029212,0.2161431262323859,0.1935628934776263,0.12371308625334344
60,0.881119466812479,0.7725910196656404,0.7645368148222649,0.6758227358641871,0.4444704164329531,3.5385404535975242,0.24900646986151373,0.2183360709866044,0.21605993342395846,0.1909891224154578,0.1256084033124657
61,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
62,0.8865339425209778,0.779823105357265,0.7717735827100735,0.685901667662188,0.3950849009257633,3.519117199176268,0.25191941397362155,0.22159623031020417,0.2193088604411144,0.19490731022619517,0.11226818504886459
63,0.9113897417593811,0.810802695322113,0.8029517003097342,0.7162615085931632,0.4765457052713531,3.7179513512557447,0.24513223968128514,0.21807781187030942,0.21596616643155803,0.19264951069121564,0.12817427132563178
64,0.9351123763007942,0.8238032390294633,0.8145309701458218,0.7094280588443661,0.4327276341617845,3.71560227848223,0.251671816899298,0.22171459087541928,0.21921909534368839,0.19093218425255065,0.11646231262904369
65,0.9371517295609794,0.8445826634994431,0.8369978593014841,0.749160219697824,0.3794980746277643,3.7473905466874946,0.25008114790420616,0.22537887443997848,0.22335485156233534,0.19991517040038542,0.10126995569309465
66,0.8381830389663598,0.7406989459793639,0.7348171303076341,0.6684881004884703,0.4572199250644073,3.439407140806235,0.24369986007817626,0.2153565761934587,0.21364645132863938,0.19436143297992028,0.13293567941980544
67,0.9344654232303964,0.8066911020963068,0.7974343166897827,0.6978547936040322,0.4604861728083932,3.6969318084289116,0.25276782793229746,0.2182055671833252,0.21570165694472712,0.18876593612382594,0.12455901181582422
