reach,row,col,Channel,d
325,31,36,85,117.52753229273932
326,103,53,103,76.29750066284583
327,71,82,111,2.6574835776972776
328,123,51,104,44.52623696932997
329,137,91,132,70.93934392069629
330,106,43,194,136.29560072757457
331,25,48,183,90.25143834126142
332,76,88,314,104.7672475623156
333,71,53,178,26.495407085357986
334,42,47,181,17.241307292717035
335,56,30,224,125.46227076147257
336,144,84,210,100.05480007227676
337,39,37,69,166.08891447227097
337,39,37,276,166.08891447227097
338,54,51,186,35.633624169268415
339,91,19,298,123.10399944368565
340,62,88,293,124.53212204039784
341,128,31,294,13.739136706133898
342,144,80,6,11.77518748347224
343,111,31,238,117.75040678900231
344,109,90,312,29.303448342995452
345,30,34,199,34.2460207069184
346,29,51,247,25.580359978029836
347,41,29,243,23.68423751712057
348,130,23,333,94.10330066961056
349,78,59,255,64.16131017520871
350,64,34,324,84.95512973681998
351,51,42,286,53.40979093967213
352,73,15,152,36.525754738867896
353,116,102,355,48.284261181911674
354,113,22,249,97.91204276544505
355,127,89,274,90.96513655041403
356,39,27,242,114.18522221099691
357,65,46,401,1.364048790179835
358,45,47,248,46.89944579174614
359,125,11,258,89.30080213314925
360,79,71,163,88.17958196459325
361,131,42,375,115.76916117273254
362,92,97,327,66.51131985760316
363,32,36,85,59.361756380619234
364,104,53,586,79.61318026509578
365,72,82,101,5.075453657653718
366,123,50,104,21.565507177573775
367,137,91,132,70.93934392069629
368,105,43,194,34.09815833805166
369,25,47,183,60.94762703488828
370,76,87,201,24.566851485813892
371,71,52,168,63.57044754405039
372,41,47,511,23.019765386103327
373,56,31,224,72.49276293077193
374,144,85,210,29.34465128833691
375,54,51,186,35.633624169268415
376,90,19,298,101.83759736749631
377,63,88,293,118.34819019176567
378,128,32,202,20.706737953068284
379,144,80,6,11.77518748347224
380,111,30,238,117.62997095721008
381,110,90,312,37.496427065850604
382,30,34,199,34.2460207069184
383,29,50,247,127.06670580705126
384,42,29,546,57.20182203842319
385,129,23,489,42.85649643061818
386,79,59,255,42.68927476008175
387,65,34,171,56.649835479671715
388,51,41,233,153.90928111575508
389,73,15,152,36.525754738867896
390,116,103,355,33.91613541615349
391,114,22,249,32.60723967090217
392,127,88,274,71.69930978186346
393,39,28,242,113.00996035398158
394,64,45,215,81.97357815670762
395,45,48,283,24.259897507171246
396,125,12,258,13.972545454916801
397,79,70,163,5.316680384955226
398,131,43,375,35.998531538573154
399,92,97,327,66.51131985760316
400,33,36,351,10.572424409748603
401,104,53,586,79.61318026509578
402,72,82,101,5.075453657653718
403,123,50,104,21.565507177573775
404,136,91,132,105.49911147727897
405,105,43,194,34.09815833805166
406,26,47,183,46.79821879206002
407,76,87,201,24.566851485813892
408,71,51,168,17.6269234424113
409,41,47,511,23.019765386103327
410,56,32,224,125.61191788520519
411,145,85,210,168.92530696675414
412,54,50,156,47.88995034411733
413,90,20,298,131.63136760448546
414,63,89,293,31.17183299300066
415,128,33,202,107.59974830574559
416,112,30,238,99.35156532874993
417,110,89,312,55.7412916222717
418,30,33,199,31.0015650542904
419,30,50,247,107.38621148332214
420,42,29,546,57.20182203842319
421,129,23,489,42.85649643061818
422,79,60,255,135.20464437949542
423,65,35,171,78.47529792545768
424,52,41,233,116.0633452113903
425,73,15,152,36.525754738867896
426,116,104,355,142.8811100813122
427,115,22,430,48.97381050588605
428,127,87,274,141.57709992410383
429,39,29,242,111.83469849696185
430,65,45,215,116.87530844010185
431,46,48,248,22.014902589938227
432,125,13,258,91.47302874639846
433,79,69,163,136.5982463264668
434,131,44,375,75.6625389375228
435,92,96,228,63.565137967580526
436,33,36,351,10.572424409748603
437,103,53,103,76.29750066284583
438,72,81,301,111.70477478737874
439,124,50,98,146.53925000379087
440,136,90,132,49.573261987702935
441,27,47,183,44.788399924706845
442,76,86,201,133.7239764906909
443,71,50,168,9.33408243957089
444,41,46,153,72.5233605543735
445,57,32,224,123.94487568694105
446,144,86,210,101.64046987273312
447,54,49,156,37.76190138825007
448,91,20,298,41.51943370360751
449,63,90,293,100.70244561627402
450,128,34,202,35.320057941493324
451,113,30,238,142.38391351356876
452,111,89,312,56.98736883463625
453,30,33,199,31.0015650542904
454,29,49,247,36.480419866289736
455,42,30,159,41.647378737237915
456,128,23,296,57.56852957799571
457,80,60,255,101.18198880787156
458,64,35,260,97.03134961422346
459,52,42,233,131.2442956428719
460,73,16,131,102.35636082247461
461,115,104,424,40.85251096864557
462,115,23,209,46.11445926721999
463,126,87,274,63.98144680371834
464,39,30,242,110.65943663994214
465,65,44,169,85.39194881870958
466,44,47,241,89.45851816313852
467,124,13,258,50.92422433421084
468,80,69,163,15.343843546938901
469,131,45,375,134.14887296034868
470,92,95,567,89.29598479008133
471,34,36,80,66.60229600618699
472,103,52,165,20.507060559719434
473,73,81,101,130.26009027909953
474,124,49,91,24.491093483328047
475,136,89,132,58.28425361582844
476,28,47,183,22.01395985882167
477,75,86,201,12.72978763696357
478,71,49,598,30.053605420147953
479,41,45,153,64.72843608876971
480,57,33,224,151.31100515184562
481,145,86,549,44.5027955632278
482,54,48,156,12.483359369515606
483,91,21,298,104.690103934148
484,64,90,293,22.235126944629467
485,128,35,202,45.463940018894135
486,113,31,238,102.93465078090593
487,112,89,312,61.18859468381975
488,31,33,166,76.02323018641432
489,28,49,247,107.00512540494849
490,42,30,159,41.647378737237915
491,127,23,296,81.73939210587116
492,80,59,255,52.318346711884324
493,64,35,260,97.03134961422346
494,53,42,233,109.50427830563052
495,73,16,131,102.35636082247461
496,118,98,447,122.51431983943257
496,118,98,355,122.51431983943257
496,118,98,270,122.51431983943257
497,115,23,209,46.11445926721999
498,126,86,274,114.60003718253374
499,39,31,242,109.48417478292899
500,65,44,169,85.39194881870958
501,44,46,241,31.712342079149597
502,124,14,335,110.13922824944191
503,81,69,163,128.18070896371583
504,130,45,375,80.05271015421421
505,91,95,195,44.371770055752
506,35,36,80,68.2821005492539
507,104,52,103,119.41156300414697
508,73,82,101,80.32984062166267
509,124,49,91,24.491093483328047
510,136,88,132,29.004532514605096
511,29,47,158,35.982816215604835
512,71,49,598,30.053605420147953
513,41,44,153,161.01920686187793
514,56,33,224,88.76166264218254
515,143,83,210,93.69609220401809
516,54,47,156,17.376439987999746
517,92,21,298,22.846865314474705
518,65,90,293,0.04306663523301272
519,128,36,202,107.77474002660348
520,114,31,238,105.53588160599892
521,112,88,312,116.85480217341193
522,31,33,166,76.02323018641432
523,28,48,558,5.407130961946572
524,42,31,159,5.474283475910143
525,127,24,296,115.74440660938836
526,80,58,255,151.16907792629863
527,65,35,171,78.47529792545768
528,54,42,233,107.02220447050497
529,73,17,115,56.46534050661984
530,118,97,270,26.921466942370127
531,115,24,191,14.987539702611194
