reach,gwf_q_m3d
712,908.6922905678488
713,193.5270726808342
714,288.7488636684605
715,-0.0
716,-142.45747395509073
717,284.15488310469425
718,15.246907343372571
719,761.674287332958
720,-36.38931838295383
721,1178.4051257172064
722,-1503.8836965708558
723,88.16849441549465
724,1285.9706405870613
725,-0.0
726,37.65834446226598
727,108.33093390187422
728,599.4090655030826
729,99.71972890645866
730,2471.116720266178
731,1059.7280594229264
732,470.34796429728726
733,-1110.7254931259613
734,1001.3288661405153
735,1772.3497195034995
736,190.70804221813864
737,-157.88142456991304
738,-0.0
739,443.7688896205054
740,357.0239272476435
741,2048.160927286226
742,277.7568958225262
743,396.9762072874199
744,107.12685039595617
745,-192.91849499419092
746,382.45201275189095
747,2018.4606783547056
748,-0.0
749,526.3676171235285
750,-312.3630849572872
751,-159.47456136698722
752,671.7894736474432
753,1845.722823482297
754,-330.36112653855923
755,2067.9856693808233
756,-367.66167303045256
757,1162.2822985811245
758,-9.727117198181714
759,440.85777968684414
760,645.9342669542333
761,-784.0446230030776
762,61.319893421951825
763,850.2767263780004
764,-184.63376638268167
765,1280.3239178637425
766,-6.230802346031261
767,888.9172294291416
768,-0.0
769,-12.352757241020408
770,7.287015871781476
771,-33.10871718906188
772,26.199279474733498
773,91.77303205071462
774,1328.946326852826
775,1475.2407131274676
776,-538.1704619143284
777,1310.2370662477138
778,-66.34256948458692
779,34.973672175482925
780,7.1468393903362335
781,460.6401911154404
782,54.05433114003745
783,-210.62832908993042
784,1545.3556746840595
785,136.23241109075207
786,-171.20892998577088
787,221.77514045581867
788,-0.0
789,-32.175697313568534
790,500.7780753677797
791,-897.2281333926711
792,53.37816470074135
793,1718.6871318487883
794,-260.41151777536373
795,806.133690490864
796,599.466873285084
797,568.4591736376044
798,-59.36467231142824
799,334.0793491495907
800,746.424290137456
801,900.8088051236007
802,771.7052716638553
803,1054.3207567459558
804,314.27667259362556
805,445.3267854130888
806,-1019.0923088691361
807,178.47246287356666
808,-1372.7489045456105
809,-359.7493080453813
810,226.141833445703
811,-347.7968165069306
812,5.241101711287683
813,116.07548482320882
814,-651.2245460485514
815,139.8809016900866
816,125.91924372981443
817,602.144909837196
818,585.9077523399721
819,-1568.5240294942655
820,-518.2953714778604
821,1726.6530090868496
822,887.7794488427321
823,-384.1409120574585
824,2236.5696954131126
825,544.0653823949197
826,119.29683689569951
827,-248.64707717203981
828,51.39169309550507
829,-53.369727773522946
830,102.9823998665168
831,969.7726199455509
832,-1039.1878687515673
833,391.5608236094508
834,-252.6917210483735
835,442.69999086598756
836,61.21591595830634
837,-1453.2581411444107
838,678.4824300098081
839,582.3967153442226
840,1866.0505126559428
841,-5.895507593209435
842,3032.5803851327905
843,993.7610329063788
844,3331.3689785431584
845,33.45065206196567
846,3204.0746480912053
847,634.1666973841347
848,9.317059090867613
849,-160.01643585711514
850,392.4054058952531
851,30.943901423763894
852,8.958547102655986
853,76.35264278268639
854,-1029.9001619626301
855,572.4411834737161
856,1487.9106287744848
857,137.44267098259292
858,-291.99359434636443
859,-1113.5958977117327
860,-960.1844378375336
861,76.37620130173694
862,510.37644030882547
863,253.31340223693462
864,-145.80078152314024
865,-178.1626843634226
866,763.6055153790477
867,1313.2374502251382
868,131.67146413539788
869,-341.7061572415336
870,100.91416034092178
871,1889.794462204115
872,181.79726388128876
873,1177.3800946296835
874,878.5347630836417
875,647.9615629914601
876,-130.588071285676
877,246.2875500072458
878,55.566383979679884
879,104.98657536288006
880,673.0760808117366
881,-478.22704742042595
882,475.8988773332447
883,-30.766746193498193
884,-38.09805689323145
885,402.66935110396935
886,173.54115533515508
887,1985.257003992488
888,1123.6794415764514
889,784.5966024295684
890,15.252649962183728
891,1899.2936710604172
892,609.0553992108805
893,1532.645839097783
894,309.51649238146814
895,-1991.894756397844
896,-125.69654758562808
897,2004.6634676036222
898,-1473.4438509325385
899,3734.6800162059467
900,-21.898318999481102
901,-2935.7491324003477
902,37.60559873531118
903,-585.9534672937534
904,373.2448978674757
905,58.68508085888645
906,629.1178182181158
907,-142.97110913744777
908,-740.5009534215255
909,1258.410066243645
910,211.7496377248066
911,2216.314087563455
912,1.2466098070373357
913,233.08573701999384
914,617.0158138211225
915,831.4699186272119
916,2435.367607198324
917,-975.2792594555389
918,-2105.7540223122323
919,53.853449107337234
920,-1883.9367554026162
921,-1085.3598715215842
922,-39.90146535557653
923,-370.5564690708308
924,-712.3336672622172
925,-376.4231216395345
926,-2543.6011755530276
927,-766.7974112865015
928,1860.6215102068402
929,-224.71105647867054
930,-646.0206990409044
931,-26.180363637828005
932,1118.4449502730638
933,1794.3966521956177
934,3294.4541492056387
935,376.48545268047104
936,1084.6308887956277
937,392.67788768574684
938,580.1366163158336
939,937.9784947951503
940,373.72591821007285
941,543.3282990754216
942,-577.042325979314
943,-168.4139841053617
944,2370.3943091672636
945,77.83277775985708
946,160.45422665424286
947,753.6150661694961
948,-1122.7867347555227
949,3481.0441571555853
950,-135.37778274726818
951,-251.92082765401992
952,176.03435060224402
953,2374.330401888499
954,-433.0587992452295
955,-1505.9213186275063
956,1208.0940374524848
957,-16.476302246230528
958,-1009.2255023650885
959,-621.1859127647031
960,1080.8144214834017
961,-846.6472512990139
962,-120.57374803890575
963,-505.7297124885403
964,-1551.612614984248
965,-1036.801325865995
966,2198.701928493523
967,-596.0427603658543
968,-13.784349010593585
969,1112.1870966624122
970,1026.5429000175925
971,1621.8740260724678
972,1681.1590820995023
973,480.9963093722928
974,1401.2579820104208
975,-1540.2866873098314
976,-47.16728296970901
977,1760.148935937319
978,-309.78047586711403
979,355.66612993418295
980,-216.8069564756368
981,1620.2362362171898
982,-141.91875503627435
983,-1344.078002954005
984,1047.5787713970292
985,1647.9209965649466
986,1771.4577431099713
987,-990.8253910073237
988,2176.599155980164
989,2283.9037341772796
990,64.97793200941544
991,-1237.7068204926463
992,-882.5074833978857
993,-403.0480903970174
994,449.69964749800647
995,1879.4691014881996
996,504.70864583730315
997,2509.1538278636845
998,-1196.5120302147855
999,28.519062439086234
1000,-0.0255023039036993
1001,1545.2682519180776
1002,1862.967744311238
1003,-2116.6750858312716
1004,-369.26383761992236
1005,-205.31204244387888
1006,806.880424393266
1007,60.3790471813083
1008,451.0207459183872
1009,38.69861534903872
1010,1896.2831656262156
1011,16.84917685822793
1012,-563.6035503823729
1013,1024.6886308268734
1014,-242.24629179435314
1015,1038.6358081021099
1016,-1778.1905165309593
1017,102.6876940160841
1018,36.888984598400356
1019,491.09466015367565
1020,-6.130279523866513
1021,2018.7473634585197
1022,1252.7627975869393
1023,78.37898697479449
1024,842.1595098151058
1025,600.3856368095062
1026,-767.0890409387014
1027,-1074.813020763382
1028,1454.680131194434
1029,1945.4686665188299
1030,55.959118231960986
1031,-1392.9321518515408
1032,1197.21351581268
1033,-23.295336807041423
1034,-2149.193593396397
1035,-1417.9235454619645
1036,-603.6954440832005
1037,955.358535101728
1038,612.1155177964979
1039,2202.231067495878
1040,1723.0155880521481
1041,3145.098827341204
1042,197.79238184357453
1043,-308.6577695993777
1044,-995.8191579610808
1045,-1405.5718312613214
1046,-4167.872686025709
1047,85.85865312440174
1048,-33.17085652373069
1049,1133.7410234508043
1050,143.12755174554178
1051,2090.7603726317802
1052,802.4377229892476
1053,-651.5123762984583
1054,-2201.6704933800524
1055,612.746318374212
1056,1652.926873732839
1057,1239.3863913464752
1058,149.8316545128154
1059,2377.2357214256513
1060,13.271650529442658
1061,1563.61327599289
1062,1396.4310610953025
1063,-300.06133717203204
1064,-2032.7376934370122
1065,98.60256224336631
1066,-2353.226295025075
1067,1947.5092989416448
1068,1277.2931772469153
1069,328.47769020685126
1070,-368.8826426037065
1071,-1068.7335231840395
1072,-237.05520094367668
1073,1942.862888244065
1074,1730.791136228993
1075,714.9909393720642
1076,995.3987028302864
1077,1397.2140063947043
1078,882.0797749639738
1079,11.864892462509278
1080,561.8133960929424
1081,-680.8736032136052
1082,-1873.3533690875176
1083,1666.5395668463025
1084,445.9857028318817
1085,567.817497409114
1086,283.6443355636999
1087,620.6785569289923
1088,-623.3854622748669
1089,-62.268825396409795
1090,-716.0908266465365
1091,-306.9989875290711
1092,2193.5462266476293
1093,628.3347079402907
1094,-1325.3954960982157
1095,-619.5815289460562
1096,-535.3621272416285
1097,1066.5959853330908
1098,1961.4212757982527
1099,-43.05322281603714
1100,2491.7871847011806
1101,486.21305848043613
1102,591.9547028892575
1103,96.53023430148819
1104,-893.5957395878305
1105,-152.2017632167476
1106,31.426062614706034
1107,-289.9446653382708
1108,-3918.466616883978
1109,218.49814253141466
1110,-183.679965842193
1111,175.59612446456077
1112,1206.1279460016613
1113,134.39353738366464
1114,-35.045175969121
1115,1454.7914851956393
1116,-511.0146911152862
1117,25.91901178664054
1118,-4.799501522143969
1119,691.8977915766591
1120,1642.2616446518402
1121,-322.6575210877708
1122,2569.781950804605
1123,-3539.618096664109
1124,1633.6835729237944
1125,2253.7286682387703
1126,1536.0659624574491
1127,609.4912104230693
1128,-2127.141552428915
1129,1874.517249810123
1130,192.1498331006861
1131,-3306.251575381379
1132,-1110.2591733413572
1133,642.9258449919421
1134,-1069.7012346054917
1135,367.5563317059134
1136,632.4156504136307
1137,636.7184905662218
1138,912.4519453107742
1139,96.30167682626738
1140,871.7491930943105
1141,501.8819321449896
1142,456.25209974312367
1143,1203.6456613695964
1144,-373.7299648420422
1145,-646.3284386834857
1146,2631.6303659968817
1147,934.3366103490449
1148,883.8278280641233
1149,1129.2466508066957
1150,1082.805360025362
1151,2101.5011158286097
1152,137.4693435268985
1153,-783.0668570202754
1154,214.13165270109596
1155,557.7532192574508
1156,1136.4255815721397
1157,-10.6177465061725
1158,1575.9025805017288
1159,2404.1734200654337
1160,761.3381911671194
1161,-1476.641097937785
1162,-4022.0607152742828
1163,-1485.72254805199
1164,1118.0206638583581
1165,284.3180482444732
1166,2037.316869157114
1167,3574.705065108448
1168,513.5360024976501
1169,1523.6869926318852
1170,-266.52628262522126
1171,3083.3640398394973
1172,-1473.1583547644507
1173,-4364.504889782165
1174,-247.17532310084698
1175,1607.723407276402
