reach,row,col,Channel,d,gwf_q_m3d,gain_m3d,c_PFOS,load_PFOS,c_PFOA,load_PFOA,c_PFHxS,load_PFHxS,c_PFBS,load_PFBS,c_PFHxA,load_PFHxA
17,72,80,428,7.664423278569785,-0.0,-0.0,0.9999643924810133,-0.0,0.9995558607632,-0.0,0.9994997331533264,-0.0,0.9986668022550568,-0.0,0.9932164002707536,-0.0
18,59,85,393,82.2657420575068,-0.0,-0.0,0.9999394522850429,-0.0,0.9993771670338555,-0.0,0.9993061431760659,-0.0,0.99830717370671,-0.0,0.9923184080710805,-0.0
19,109,51,304,81.65666566825155,-0.0,-0.0,0.999759174206639,-0.0,0.9983864044457155,-0.0,0.9982355665454028,-0.0,0.9962360174360823,-0.0,0.9860113613040982,-0.0
20,131,29,494,17.750140634678623,-0.0,-0.0,0.9999520019673599,-0.0,0.9993263189352639,-0.0,0.9992330288735181,-0.0,0.9977425820562968,-0.0,0.9862600169194723,-0.0
20,131,29,410,17.750140634678623,-0.0,-0.0,0.9999520019673599,-0.0,0.9993263189352639,-0.0,0.9992330288735181,-0.0,0.9977425820562968,-0.0,0.9862600169194723,-0.0
20,131,29,306,17.750140634678623,-0.0,-0.0,0.9999520019673599,-0.0,0.9993263189352639,-0.0,0.9992330288735181,-0.0,0.9977425820562968,-0.0,0.9862600169194723,-0.0
21,142,77,555,48.902096984093546,710.2416320744417,710.2416320744417,1.3866197065755377,0.35946479086464955,0.9937246318768719,0.2576113805975332,0.9920996207784617,0.2571901156523772,0.9809304273738184,0.25429463410665304,0.92821028250798,0.2406275588742124
22,107,31,310,110.02798054847872,-0.0,-0.0,0.9999733533337398,-0.0,0.999646661551881,-0.0,0.99960222609183,-0.0,0.9989491290064578,-0.0,0.99445525208065,-0.0
23,107,94,550,41.37999842627888,-0.0,-0.0,0.9998746662502551,-0.0,0.9987354502910072,-0.0,0.9985901764420454,-0.0,0.9965381694193653,-0.0,0.9840156675341923,-0.0
24,76,87,201,24.56685148581389,23.353331915931964,23.353331915931964,0.9997391372592479,0.008521742564143378,0.9976486279866313,0.008503923133868765,0.9974115730049249,0.008501902485229173,0.9942439441701606,0.008474901724268047,0.9762541812778077,0.008321557594339427
25,28,37,317,59.738569843624816,-0.0,-0.0,0.9999330941485841,-0.0,0.9993159114691932,-0.0,0.9992368095081903,-0.0,0.9981154349690302,-0.0,0.9912984483945539,-0.0
26,98,30,237,21.035427924206104,405.6712134175547,405.6712134175547,0.9999806219192604,0.14806712358513002,0.9997349046883478,0.148030740236494,0.9996994061939981,0.1480254839746878,0.9991520574219285,0.14794443804589502,0.9951171334529254,0.14734698688246314
27,27,55,322,34.39343987527423,13.75320203156998,13.75320203156998,0.999832811703415,0.005019079469859652,0.998571412676974,0.0050127473492462835,0.9984147778498889,0.005011961055142223,0.9961779364664861,0.005000732293159864,0.9784370726276871,0.004911674598284669
28,91,29,487,22.284390090198208,-0.0,-0.0,0.9999511610990549,-0.0,0.9994315156685191,-0.0,0.9993633263812521,-0.0,0.9983790696221673,-0.0,0.9919131624100914,-0.0
29,63,33,522,81.51246735873795,-0.0,-0.0,0.9999591079025248,-0.0,0.9995131838641359,-0.0,0.999454082838644,-0.0,0.9986064637328935,-0.0,0.9931638874585833,-0.0
30,40,25,503,48.81516656066095,56.37974214283535,56.37974214283535,0.9999242058066431,0.020577046143301657,0.9992071610833662,0.020562290362541476,0.999116209788179,0.020560418711683348,0.9978157536777186,0.02053365713791917,0.9895983575675408,0.020364554581990435
31,129,47,22,3.840713231828613,13.028004612099805,13.028004612099805,0.999941788335914,0.004754944874049139,0.9993120984275436,0.004751950558943029,0.9992270053556873,0.004751545922522628,0.9979900028111875,0.004745663701200582,0.9901667127110625,0.00470846222248081
32,132,18,404,16.395615491837393,150.27385456246742,150.27385456246742,0.9996197969314409,0.05482910279337108,0.9969262514917479,0.0546813619420545,0.9965847460695317,0.05466263038435962,0.9913245275057553,0.05437410762277141,0.9581123225632829,0.05255241961261468
33,49,44,346,7.918043939840812,-0.0,-0.0,0.9999856381211936,-0.0,0.9997951898198923,-0.0,0.9997660672680614,-0.0,0.9992881047879678,-0.0,0.9952588902810169,-0.0
34,74,59,475,22.008864562656,193.52286982859152,193.52286982859152,0.999920471389646,0.07063022991664406,0.9990866293863128,0.070571330780068,0.9989718238061327,0.07056322139061567,0.9972160767165189,0.07043920270696721,0.9860007344758908,0.06964699750293882
35,53,28,486,79.7418626489997,-0.0,-0.0,0.9999306387647506,-0.0,0.9993156804606559,-0.0,0.9992394835330388,-0.0,0.9981779105439754,-0.0,0.9917468904958168,-0.0
36,44,50,436,17.70721674380887,-0.0,-0.0,0.9998820256681048,-0.0,0.9988299112600274,-0.0,0.9986964584603588,-0.0,0.9968096387099283,-0.0,0.9842376750141053,-0.0
37,65,30,532,31.24945824079621,0.7633129367338904,0.7633129367338904,0.9999672566121246,0.00027860009929805144,0.9995807340542872,0.0002784924105489625,0.9995273522631899,0.00027847753788968083,0.9987319631630114,0.0002782559351513661,0.9930274332791156,0.0002766666005190637
38,48,44,346,5.431879436216916,87.78569507434746,87.78569507434746,0.9999920820393569,0.032041524996594115,0.9998834815010885,0.03203804524217999,0.9998672135608402,0.03203752398843862,0.9996054380287481,0.03202913623476969,0.997348933016536,0.03195683380052813
39,33,38,585,7.972744278608566,336.4882861118144,336.4882861118144,0.9999631053150234,0.1228136930911125,0.999572206186938,0.12276568355426948,0.9995213447191426,0.12275943683910291,0.9988007020651916,0.12267092878789555,0.994383776452447,0.12212844982669527
40,75,14,458,41.99179141493045,23.318697923211666,23.318697923211666,0.9999936895876277,0.008511271032003302,0.9998950820211011,0.008510431750982579,0.9998792666926785,0.008510297141586472,0.9996141798834723,0.008508040901668505,0.9971990488789132,0.008487484937394298
41,119,98,447,56.77608621225781,327.2774230619344,327.2774230619344,0.9998649296296784,0.11944012441640929,0.9987587628317375,0.11930798586843532,0.9986178143074437,0.11929114868495275,0.9966171216289271,0.11905215342133298,0.9843241895635614,0.11758368573952963
42,110,21,358,62.12703924531098,-0.0,-0.0,0.9999266444562893,-0.0,0.9994417487871927,-0.0,0.9993836390066811,-0.0,0.9985888738814495,-0.0,0.9939871386198611,-0.0
43,129,93,360,26.938762776520807,-0.0,-0.0,0.9998244450689822,-0.0,0.9980646323020371,-0.0,0.9978343028708747,-0.0,0.9945691538425654,-0.0,0.975343646928704,-0.0
44,35,26,455,67.41249214520987,-0.0,-0.0,0.999959298020369,-0.0,0.9995371914664652,-0.0,0.9994815297454535,-0.0,0.9986770362975194,-0.0,0.9935973265658096,-0.0
45,64,50,366,22.050707597248195,419.5608119628942,419.5608119628942,0.9997566875546641,0.15310243557245548,0.9979753293708848,0.15282963892107163,0.9977504670684584,0.15279520357635376,0.994533371947658,0.15230253860637236,0.9768261356679437,0.14959085781900783
46,50,48,384,18.99660716127266,-0.0,-0.0,0.9999361931292753,-0.0,0.9992975704227423,-0.0,0.9992156765239814,-0.0,0.9980530407085381,-0.0,0.9905016570665285,-0.0
47,128,8,445,19.526390125759647,-0.0,-0.0,0.9999545176141776,-0.0,0.9994057308061532,-0.0,0.9993281971997513,-0.0,0.9981487646077023,-0.0,0.9870833769429307,-0.0
48,136,92,372,18.67386483276824,202.7197555264441,202.7197555264441,0.9998026276217263,0.07397810664985306,0.9978680656352913,0.07383496316432966,0.9976105550137355,0.0738159092553894,0.9938040228486409,0.0735342536218717,0.97381267517678,0.07205503961574211
49,77,73,373,35.56505371728326,-0.0,-0.0,0.9999339749190906,-0.0,0.9992340395409092,-0.0,0.9991373349256064,-0.0,0.9976594978765613,-0.0,0.9879656569849817,-0.0
