instream_lower,instream_mid,gw_plume,baseflow
22.238,18.0796,1226.18,3.5112
22.2317,18.0857,1185.74,3.73914
25.9007,21.002,1185.74,3.73914
25.9067,21.0024,1185.81,3.73789
26.3013,21.374,1195.47,3.73789
29.372,23.8203,1195.47,3.73789
nan,nan,nan,nan
9.63424,6.66525,23893.6,3.21163
9.72742,6.74502,23893.6,3.21163
9.6109,6.7367,23795.2,3.21163
21.3908,6.71768,24847.9,3.21163
20.6103,6.09608,24847.9,3.21163
8.06721,6.09894,1165.15,3.21163
9.18376,6.98824,1165.15,3.21163
9.18374,6.98823,1165.15,3.21163
9.22255,7.01141,1162.19,3.44799
8.81146,6.63515,1154.11,3.44799
8.17249,6.54686,1117.77,1.88233
8.18812,6.54718,1206.56,1.88233
20.1298,16.3261,1206.56,1.88233
20.1296,16.3238,1208.91,1.88233
20.1717,16.3942,1384.22,4.03261
20.9066,16.5562,1387.07,5.01758
20.9055,16.5636,1367.35,5.21112
20.9102,16.5642,1367.45,5.21243
101.025,16.1524,24093,3.31701
100.025,16.4185,24102.8,3.31701
113.407,16.5231,25610.7,3.31701
121.071,16.4202,25676.4,2.97159
120.239,15.711,25656,2.97159
118.414,14.2542,25656,2.97159
21.5918,13.8465,1158.01,2.97159
21.5918,13.8465,1158.01,2.97159
17.9096,10.9121,1158.01,2.97159
28.164,19.4084,1158.01,2.97159
23.5367,19.1851,1105.56,2.08325
23.5395,19.1855,1105.58,2.08347
23.5325,19.2016,1111.23,2.55697
23.5321,19.2098,1122.25,2.83122
23.5351,19.2131,1123.04,2.83122
23.5749,19.2127,1180.02,2.83122
23.6687,19.368,1266.5,7.49446
22.1768,18.0826,1266.5,7.49446
21.961,17.9391,1274.15,4.98509
nan,nan,nan,nan
150.066,8.08727,24831.1,6.24945
149.019,7.12061,24821.9,6.24945
149.019,7.1206,24821.9,6.24945
19.7085,7.11023,23804,4.68042
9.34817,6.95479,23655,4.68042
9.35752,6.96371,23653.9,4.68042
9.32374,6.98829,23649.2,5.38554
9.21998,6.89958,23649.2,5.38554
8.18595,6.07725,23649.2,5.38554
8.3705,6.36919,24402.5,13.924
7.33603,5.94327,24418.9,6.20881
7.33612,5.93712,24402.9,5.96338
8.44303,6.81739,24402.9,5.96338
8.44813,6.81519,24354.7,5.89498
19.8587,16.0934,24354.7,5.89498
19.8674,16.0935,24353.4,5.89942
19.8445,16.0949,24353.5,5.89942
19.8293,16.0922,1134.69,5.89942
24.8012,9.3363,26787.7,9.58652
24.0484,8.59879,26780.9,9.58652
19.914,8.39906,26619,9.58652
