vpuid,site_no,nwis_drain_area_km2,wbd_upstream_hu12_area_sqkm,wbd_over_nwis_ratio,wbd_minus_nwis_pct
0310,02307671,15.9802,75.1808,4.7046,370.46
0310,02307672,0.6993,75.1808,107.5091,10650.91
0310,02307673,17.4306,75.1808,4.3131,331.31
0310,02307674,18.1558,75.1808,4.1409,314.09
0310,02307697,23.3099,75.1808,3.2253,222.53
0310,02307731,4.403,75.1808,17.075,1607.5
0310,02307780,3.2375,75.1808,23.222,2222.2
0310,02308193,9.7384,53.9953,5.5446,454.46
0310,02308773,4.8951,299.7395,61.2328,6023.28
0310,02308776,8.8837,299.7395,33.7405,3274.05
0310,02308861,0.5957,56.1569,94.271,9327.1
0310,02308865,11.9139,56.1569,4.7135,371.35
0310,02308866,11.9139,56.1569,4.7135,371.35
0310,02308870,6.5009,129.6523,19.9438,1894.38
0310,02308889,36.2598,129.6523,3.5756,257.56
0310,02308929,4.4548,129.6523,29.1041,2810.41
0310,02308931,5.18,129.6523,25.0295,2402.95
0310,02308935,6.6045,129.6523,19.631,1863.1
0310,02309011,0.4662,129.6523,278.1058,27710.58
0310,02309110,15.2809,99.559,6.5152,551.52
0310,02309415,1.4763,120.105,81.3558,8035.58
0310,02309421,8.806,120.105,13.6391,1263.91
0310,02309425,10.5931,120.105,11.3381,1033.81
0310,02309445,2.9267,120.105,41.0379,4003.79
0310,02309740,88.0596,155.7051,1.7682,76.82
0310,02309848,44.2888,155.7051,3.5157,251.57
0310,02309980,176.3782,302.8283,1.7169,71.69
0310,02310000,187.7741,302.8283,1.6127,61.27
0310,02310050,210.307,302.8283,1.4399,43.99
0310,02310075,222.739,302.8283,1.3596,35.96
0310,02310147,11.4736,302.8283,26.3934,2539.34
0310,02310175,271.9488,120.105,0.4416,-55.84
0310,02310207,290.0787,120.105,0.414,-58.6
0310,02310210,20.0465,43.4418,2.1671,116.71
0310,02310219,13.1571,148.8291,11.3117,1031.17
0310,02310238,111.3695,232.7706,2.0901,109.01
0310,02310240,111.3695,232.7706,2.0901,109.01
0310,02310280,388.4982,459.2884,1.1822,18.22
0310,02310286,22.7919,459.2884,20.1514,1915.14
0310,02310300,471.3778,459.2884,0.9744,-2.56
0310,02310304,476.5578,459.2884,0.9638,-3.62
0310,02310307,489.5078,459.2884,0.9383,-6.17
0310,02310308,505.0477,459.2884,0.9094,-9.06
