site_no,vpuid,nested_usable_gauges,basin_huc12s,drainage_km2
09060799,1401,149,86,7694.4
395430106470301,1401,149,86,7694.4
11377100,1802,149,259,22204.5
11377200,1802,149,259,22204.5
06687498,1018,149,480,54381.4
06687499,1018,149,480,54381.4
06687500,1018,149,480,54381.4
12473860,1702,149,708,64823.2
12473880,1702,149,708,64823.2
12473900,1702,149,708,64823.2
12513700,1702,149,708,64823.2
11274570,1804,148,204,20692.9
12473510,1702,148,721,66105.4
12473502,1702,148,733,66817.5
12473503,1702,148,733,66817.5
12473508,1702,148,733,66817.5
11274550,1804,147,202,20265.3
11274554,1804,147,202,20265.3
11274560,1804,147,202,20265.3
07117000,1102,147,286,24962.6
07117500,1102,147,286,24962.6
13061500,1704,147,276,26773.3
06656000,1018,147,371,40989.7
12472950,1702,147,765,69039.7
12471724,1702,147,778,69948.1
12472800,1702,147,778,69948.1
08329928,1302,146,249,24745.5
08329931,1302,146,249,24745.5
08329935,1302,146,249,24745.5
08329936,1302,146,249,24745.5
083299375,1302,146,249,24745.5
083299377,1302,146,249,24745.5
083299395,1302,146,249,24745.5
350841106403510,1302,146,249,24745.5
350854106405610,1302,146,249,24745.5
351053106391710,1302,146,249,24745.5
351055106390810,1302,146,249,24745.5
13060000,1704,146,273,26512.1
13060500,1704,146,273,26512.1
06654000,1018,146,365,40393.4
09152500,1402,145,231,20824.1
09152520,1402,145,231,20824.1
09152600,1402,145,231,20824.1
12471722,1702,145,793,71139.3
12471720,1702,144,809,72151.6
13058500,1704,143,268,25981.5
13058520,1704,143,268,25981.5
13058530,1704,143,268,25981.5
06690500,1018,143,448,51331.1
14222880,1708,142,185,14337.0
14245295,1708,142,185,14337.0
14247400,1708,142,185,14337.0
460923123235800,1708,142,185,14337.0
461518123285700,1708,142,185,14337.0
460939123201600,1708,142,185,14337.0
11273000,1804,142,194,19315.0
11274000,1804,142,194,19315.0
11273400,1804,140,193,19151.5
06692500,1018,140,449,50987.8
06693000,1018,140,449,50987.8
06691000,1018,140,455,51626.0
09379500,1408,138,660,59480.3
