catalog_model_id,workspace_model_id,label,site_no,station_name,usgs_da_km2,usgs_da_source,v1b_nhdplusid,v1b_pick_rule,reference_class,reference_gnis,reference_ftype,reference_has_wb_link,swat_gis_id,swat_lcha,mapping_method,mapped_nhdplusid,replacement_steps_downstream,chandeg_present,nhd_tda_km2,swat_da_km2,swat_nhd_ratio,assignment_class,calibration_eligible,production_gis_channel,same_gis_as_production,notes
03152000,0503/huc12/03152000,0503/huc12/03152000 (nan),03151915,"SAND FORK NEAR GLENVILLE, WV",204.8680595275776,meta_csv,24000300052751,nhd_first_v1b_gnis,mainstem,Sand Fork,558.0,True,88.0,76.0,exact_crosswalk,24000300052751.0,0,True,204.94639993,32.258902400000004,0.1574016543399548,mainstem_clean,True,87,False,
03152000,0503/huc12/03152000,0503/huc12/03152000 (nan),03152000,"LITTLE KANAWHA RIVER AT GLENVILLE, WV",1002.325398700032,meta_csv,24000300052104,nhd_first_v1b_gnis,mainstem,Little Kanawha River,558.0,True,8.0,8.0,lake_outlet_replacement,24000300061393.0,1,True,1001.0345002,773.1777518,0.7723787258536287,lake_outlet_review,False,6,False,Mapped at downstream step 1 to NHD 24000300061393 (ref 24000300052104).
07174000,1107/huc12/07174000,1107/huc12/07174000 (KS),07173300,"M CANEY C AT SEDAN, KS",309.2445803741184,meta_csv,21001300139309,nhd_first_v1b_levelpath,mainstem,Middle Caney Creek,558.0,True,78.0,78.0,exact_crosswalk,21001300139309.0,0,True,309.60529995,309.9869875,1.001232819819498,mainstem_clean,True,78,True,
07174000,1107/huc12/07174000,1107/huc12/07174000 (KS),07173500,"BEE C NR HAVANA, KS",28.489869213696,meta_csv,21001300121695,nhd_first_v1b_levelpath,mainstem,Bee Creek,460.0,False,371.0,354.0,downstream_replacement,21001300005852.0,1,True,29.41109997,56.298422200000005,1.914189617437828,review,False,376,False,Mapped at downstream step 1 to NHD 21001300005852 (ref 21001300121695).
07174000,1107/huc12/07174000,1107/huc12/07174000 (KS),07174000,"Little Caney River near Copan, OK",1098.1549587824638,meta_csv,21001300044776,nhd_first_v1b_gnis,mainstem,Little Caney River,558.0,True,,,missing,,3,False,1103.85780021,,,exclude_from_auto_calibration,False,1,False,No chandeg.con channel for reference reach or downstream walk.
15060105,1506/huc8/15060105,1506/huc8/15060105 (nan),09498800,"TONTO CREEK NEAR GISELA, ARIZ.",1113.69488744448,meta_csv,40000600090920,nhd_first_v1b_levelpath,tributary,,,False,357.0,357.0,exact_crosswalk,40000600090920.0,0,True,1119.18809979,1120.1734671,1.0008804304747208,tributary_clean,True,1003,False,
15060105,1506/huc8/15060105,1506/huc8/15060105 (nan),09498870,"RYE CREEK NR GISELA, ARIZ.",315.978549460992,meta_csv,40000600078713,nhd_first_v1b_levelpath,tributary,,,False,471.0,471.0,exact_crosswalk,40000600078713.0,0,True,316.82459993,316.5909191,0.9992624283908144,tributary_clean,True,459,False,
15060105,1506/huc8/15060105,1506/huc8/15060105 (nan),09499000,"TONTO CREEK ABOVE GUN CREEK, NEAR ROOSEVELT, AZ",1748.2419744768,meta_csv,40000600056480,nhd_first_v1b_levelpath,tributary,,,False,227.0,227.0,exact_crosswalk,40000600056480.0,0,True,1888.06139942,1888.4063686,1.0001827107847796,tributary_clean,True,228,False,
15060105,1506/huc8/15060105,1506/huc8/15060105 (nan),09499500,TONTO C NR ROOSEVELT ARIZ,2178.180000792576,meta_csv,40000600077394,nhd_first_v1b_levelpath,mainstem,,,False,119.0,119.0,downstream_replacement,40000600077445.0,1,True,2070.97139943,0.0560846999999999,2.708134936843472e-05,assignment_ambiguous,False,1220,False,Mapped at downstream step 1 to NHD 40000600077445 (ref 40000600077394).
03100101,0310/huc8/03100101,0310/huc8/03100101 (nan),02293681,LAKE HAMILTON NEAR LAKE HAMILTON FL,53.094756261888,nwis_contrib_drain_area_km2,15000700011475,nhd_first_v1b_levelpath,lake_related,,558.0,True,1018.0,970.0,lake_outlet_replacement,15000700083706.0,1,True,123.13099995,126.9437013,1.0309645934130984,lake_outlet_review,False,965,False,Mapped at downstream step 1 to NHD 15000700083706 (ref 15000700011475).
03100101,0310/huc8/03100101,0310/huc8/03100101 (nan),02293694,PEACE CREEK DRAINAGE CANAL NEAR DUNDEE FL,150.219310399488,nwis_drain_area_km2,15000700023411,nhd_first_v1b_gnis,canal,Peace Creek Drainage Canal,336.0,False,1008.0,960.0,exact_crosswalk,15000700023411.0,0,True,78.53100002,9.8006307,0.1247995148094893,canal_or_artificial_review,False,1008,True,
03100101,0310/huc8/03100101,0310/huc8/03100101 (nan),02293986,PEACE CREEK DRAINAGE CANAL NEAR ALTURAS FL,414.39809765376,nwis_drain_area_km2,15000700071069,nhd_first_v1b_levelpath,canal,,460.0,False,6643.0,5774.0,exact_crosswalk,15000700071069.0,0,True,0.14489998,0.1439671,0.9935619038732788,canal_or_artificial_review,False,481,False,
03100101,0310/huc8/03100101,0310/huc8/03100101 (nan),02293987,PEACE CREEK DRAINAGE CANAL NEAR WAHNETA FL,419.578073874432,nwis_drain_area_km2,15000700022809,nhd_first_v1b_gnis,canal,Peace Creek,558.0,True,470.0,443.0,exact_crosswalk,15000700022809.0,0,True,386.91189983,404.8491684,1.046360085016463,canal_or_artificial_review,False,470,True,
03100101,0310/huc8/03100101,0310/huc8/03100101 (nan),02294068,LULU LAKE OUTLET AT ELOISE FL,59.569726537728,nwis_drain_area_km2,15000700070958,nhd_first_v1b_levelpath,lake_outlet,,336.0,False,1446.0,1361.0,exact_crosswalk,15000700070958.0,0,True,37.81499997,29.9786661,0.7927718134016436,lake_outlet_review,False,1415,False,
03100101,0310/huc8/03100101,0310/huc8/03100101 (nan),02294161,PEACE CREEK NEAR BARTOW FL,530.4295649968128,nwis_drain_area_km2,15000700010442,nhd_first_v1b_gnis,tributary,Peace Creek,558.0,True,451.0,429.0,lake_outlet_replacement,15000700010307.0,1,True,503.90429993,590.6192902,1.1720862280437894,lake_outlet_review,False,451,True,Mapped at downstream step 1 to NHD 15000700010307 (ref 15000700010442).
03100101,0310/huc8/03100101,0310/huc8/03100101 (nan),02294217,SADDLE CREEK AT ST.HWY 542 NEAR LAKELAND FL,137.26936984780798,nwis_drain_area_km2,15000700057875,nhd_first_v1b_gnis,tributary,Saddle Creek,558.0,True,947.0,900.0,exact_crosswalk,15000700057875.0,0,True,106.14489989,120.7286672,1.1373948943860086,tributary_clean,True,947,True,
03100101,0310/huc8/03100101,0310/huc8/03100101 (nan),02294260,LAKE PARKER OUTLET AT LAKELAND FL,159.4730888687525,wbd_upstream_hu12_area_sqkm,15000700021204,nhd_first_v1b_levelpath,lake_outlet,,558.0,True,1392.0,1315.0,lake_outlet_replacement,15000700093457.0,1,True,50.03610001,61.0420657,1.2199605022733666,lake_outlet_review,False,1392,True,Mapped at downstream step 1 to NHD 15000700093457 (ref 15000700021204).
03100101,0310/huc8/03100101,0310/huc8/03100101 (nan),02294261,LAKE PARKER OUTLET AT COMBEE SETTLEMENT FL,159.4730888687525,wbd_upstream_hu12_area_sqkm,15000700093457,nhd_first_v1b_levelpath,lake_outlet,,336.0,False,1392.0,1315.0,exact_crosswalk,15000700093457.0,0,True,52.17359997,61.0420657,1.169979946469084,lake_outlet_review,False,1392,True,
03100101,0310/huc8/03100101,0310/huc8/03100101 (nan),02294290,SADDLE CREEK AT STATE HWY 570 NEAR EATON PARK FL,157.989274730496,nwis_drain_area_km2,15000700045993,nhd_first_v1b_gnis,tributary,Saddle Creek,558.0,True,770.0,733.0,lake_outlet_replacement,15000700045991.0,8,True,135.26619994,335.25871440000003,2.478510629770857,lake_outlet_review,False,897,False,Mapped at downstream step 8 to NHD 15000700045991 (ref 15000700045993).
